stud.id,semester,major,minor,math_score,statistics_score,math_grade,statistics_grade
379678,3rd,Social Sciences,Mathematics and Statistics,45,46,g. 00,g. 00
146494,3rd,Political Science,Economics and Finance,58,62,g. 02,g. 02
723584,3rd,Economics and Finance,Environmental Sciences,57,67,g. 02,g. 02
200803,4th,Economics and Finance,Environmental Sciences,62,61,g. 04,g. 04
444907,3rd,Environmental Sciences,Economics and Finance,76,82,g. 07,g. 07
354271,4th,Environmental Sciences,Mathematics and Statistics,71,76,g. 07,g. 07
317812,6th,Environmental Sciences,Social Sciences,66,70,g. 04,g. 04
889551,4th,Mathematics and Statistics,Political Science,87,91,g. 10,g. 10
350040,6th,Political Science,Biology,57,54,g. 02,g. 02
865835,3rd,Political Science,Environmental Sciences,69,46,g. 04,g. 12
708242,4th,Biology,Economics and Finance,77,80,g. 07,g. 07
531029,4th,Economics and Finance,Environmental Sciences,69,65,g. 04,g. 04
250298,3rd,Social Sciences,Economics and Finance,45,37,g. 00,g. 00
763393,5th,Economics and Finance,Social Sciences,61,73,g. 04,g. 04
252935,3rd,Mathematics and Statistics,Social Sciences,89,90,g. 10,g. 10
759365,3rd,Social Sciences,Mathematics and Statistics,44,36,g. 00,g. 00
662678,4th,Economics and Finance,Biology,65,70,g. 04,g. 04
188703,4th,Environmental Sciences,Mathematics and Statistics,74,74,g. 07,g. 07
679521,3rd,Biology,Economics and Finance,72,75,g. 07,g. 07
411253,5th,Political Science,Mathematics and Statistics,54,46,g. 02,g. 12
835757,4th,Mathematics and Statistics,Environmental Sciences,86,92,g. 10,g. 10
503879,3rd,Social Sciences,Mathematics and Statistics,52,33,g. 02,g. 12
902697,5th,Environmental Sciences,Economics and Finance,78,75,g. 07,g. 07
773757,3rd,Biology,Environmental Sciences,83,73,g. 10,g. 12
280980,3rd,Social Sciences,Political Science,55,42,g. 02,g. 12
756828,5th,Economics and Finance,Environmental Sciences,71,69,g. 07,g. 12
267025,>6th,Political Science,Mathematics and Statistics,57,58,g. 02,g. 02
865072,3rd,Economics and Finance,Biology,63,67,g. 04,g. 04
373120,4th,Political Science,Environmental Sciences,56,52,g. 02,g. 02
201130,>6th,Environmental Sciences,Social Sciences,64,75,g. 04,g. 04
401840,3rd,Mathematics and Statistics,Economics and Finance,88,93,g. 10,g. 10
358005,4th,Economics and Finance,Political Science,65,63,g. 04,g. 04
680483,4th,Economics and Finance,Environmental Sciences,73,73,g. 07,g. 07
275470,3rd,Mathematics and Statistics,Economics and Finance,89,93,g. 10,g. 10
156460,4th,Social Sciences,Political Science,38,49,g. 00,g. 00
249571,4th,Biology,Political Science,75,83,g. 07,g. 07
870282,4th,Social Sciences,Mathematics and Statistics,42,42,g. 00,g. 00
308092,3rd,Biology,Economics and Finance,76,75,g. 07,g. 07
841076,>6th,Biology,Political Science,74,81,g. 07,g. 07
794058,3rd,Economics and Finance,Environmental Sciences,76,61,g. 07,g. 12
980136,5th,Environmental Sciences,Political Science,69,68,g. 04,g. 04
253731,6th,Environmental Sciences,Biology,63,75,g. 04,g. 04
416538,3rd,Biology,Environmental Sciences,83,79,g. 10,g. 12
888830,3rd,Economics and Finance,Social Sciences,71,74,g. 07,g. 07
536813,4th,Biology,Environmental Sciences,78,76,g. 07,g. 07
732709,4th,Political Science,Economics and Finance,53,46,g. 02,g. 12
514389,5th,Environmental Sciences,Mathematics and Statistics,72,77,g. 07,g. 07
367719,3rd,Economics and Finance,Biology,71,74,g. 07,g. 07
362637,3rd,Biology,Social Sciences,76,79,g. 07,g. 07
977593,3rd,Economics and Finance,Biology,65,65,g. 04,g. 04
706060,4th,Social Sciences,Biology,43,52,g. 00,g. 00
168184,4th,Mathematics and Statistics,Social Sciences,93,87,g. 12,g. 12
890431,5th,Mathematics and Statistics,Social Sciences,78,90,g. 07,g. 07
372924,3rd,Biology,Political Science,80,79,g. 10,g. 12
173174,6th,Social Sciences,Economics and Finance,49,41,g. 00,g. 00
336025,5th,Mathematics and Statistics,Biology,89,91,g. 10,g. 10
834732,4th,Environmental Sciences,Biology,68,76,g. 04,g. 04
657755,>6th,Economics and Finance,Social Sciences,64,67,g. 04,g. 04
903623,6th,Mathematics and Statistics,Political Science,95,91,g. 12,g. 12
869008,4th,Biology,Social Sciences,79,76,g. 07,g. 07
644929,4th,Biology,Social Sciences,82,80,g. 10,g. 10
638567,5th,Environmental Sciences,Social Sciences,75,79,g. 07,g. 07
856894,5th,Political Science,Biology,58,63,g. 02,g. 02
730300,6th,Political Science,Social Sciences,47,54,g. 00,g. 00
842122,3rd,Political Science,Mathematics and Statistics,61,63,g. 04,g. 04
342378,4th,Environmental Sciences,Political Science,67,70,g. 04,g. 04
266056,3rd,Economics and Finance,Biology,62,65,g. 04,g. 04
303723,6th,Mathematics and Statistics,Environmental Sciences,90,91,g. 12,g. 12
369102,3rd,Political Science,Mathematics and Statistics,64,59,g. 04,g. 12
159105,6th,Environmental Sciences,Political Science,74,71,g. 07,g. 07
131435,4th,Political Science,Environmental Sciences,56,44,g. 02,g. 12
420250,>6th,Economics and Finance,Mathematics and Statistics,73,63,g. 07,g. 12
734612,5th,Biology,Economics and Finance,82,84,g. 10,g. 10
977262,3rd,Environmental Sciences,Biology,72,74,g. 07,g. 07
931933,6th,Biology,Environmental Sciences,75,77,g. 07,g. 07
