tas	Year	Month	Country	ISO3	ISO2
-2.3072	1901	1	DNK	NA	NA
-3.0503	1901	2	DNK	NA	NA
0.88438	1901	3	DNK	NA	NA
6.30278	1901	4	DNK	NA	NA
11.4452	1901	5	DNK	NA	NA
13.998	1901	6	DNK	NA	NA
18.6509	1901	7	DNK	NA	NA
16.6608	1901	8	DNK	NA	NA
13.4811	1901	9	DNK	NA	NA
9.90213	1901	10	DNK	NA	NA
3.62393	1901	11	DNK	NA	NA
0.37061	1901	12	DNK	NA	NA
2.5668	1902	1	DNK	NA	NA
-2.4134	1902	2	DNK	NA	NA
1.8809	1902	3	DNK	NA	NA
5.01811	1902	4	DNK	NA	NA
7.88479	1902	5	DNK	NA	NA
14.3214	1902	6	DNK	NA	NA
13.9155	1902	7	DNK	NA	NA
12.9903	1902	8	DNK	NA	NA
10.8543	1902	9	DNK	NA	NA
7.16434	1902	10	DNK	NA	NA
2.44403	1902	11	DNK	NA	NA
-1.4354	1902	12	DNK	NA	NA
-0.3729	1903	1	DNK	NA	NA
2.68788	1903	2	DNK	NA	NA
4.63403	1903	3	DNK	NA	NA
4.53463	1903	4	DNK	NA	NA
11.249	1903	5	DNK	NA	NA
14.5267	1903	6	DNK	NA	NA
15.5467	1903	7	DNK	NA	NA
14.0992	1903	8	DNK	NA	NA
12.6229	1903	9	DNK	NA	NA
8.00814	1903	10	DNK	NA	NA
3.90418	1903	11	DNK	NA	NA
-0.3591	1903	12	DNK	NA	NA
-0.1335	1904	1	DNK	NA	NA
-0.9726	1904	2	DNK	NA	NA
1.10996	1904	3	DNK	NA	NA
6.37037	1904	4	DNK	NA	NA
9.98862	1904	5	DNK	NA	NA
13.597	1904	6	DNK	NA	NA
16.2566	1904	7	DNK	NA	NA
15.48	1904	8	DNK	NA	NA
12.2891	1904	9	DNK	NA	NA
8.31509	1904	10	DNK	NA	NA
4.0798	1904	11	DNK	NA	NA
2.39066	1904	12	DNK	NA	NA
-0.1814	1905	1	DNK	NA	NA
1.03967	1905	2	DNK	NA	NA
2.89335	1905	3	DNK	NA	NA
3.86874	1905	4	DNK	NA	NA
10.9688	1905	5	DNK	NA	NA
16.3228	1905	6	DNK	NA	NA
17.0518	1905	7	DNK	NA	NA
15.4539	1905	8	DNK	NA	NA
12.2125	1905	9	DNK	NA	NA
5.61171	1905	10	DNK	NA	NA
3.05086	1905	11	DNK	NA	NA
1.78366	1905	12	DNK	NA	NA
0.89877	1906	1	DNK	NA	NA
0.24472	1906	2	DNK	NA	NA
1.6263	1906	3	DNK	NA	NA
6.47509	1906	4	DNK	NA	NA
11.6125	1906	5	DNK	NA	NA
14.7219	1906	6	DNK	NA	NA
15.9867	1906	7	DNK	NA	NA
15.7304	1906	8	DNK	NA	NA
13.02	1906	9	DNK	NA	NA
9.29268	1906	10	DNK	NA	NA
6.75903	1906	11	DNK	NA	NA
-1.0701	1906	12	DNK	NA	NA
-0.1756	1907	1	DNK	NA	NA
-0.9772	1907	2	DNK	NA	NA
2.3176	1907	3	DNK	NA	NA
5.14223	1907	4	DNK	NA	NA
10.1475	1907	5	DNK	NA	NA
12.6357	1907	6	DNK	NA	NA
14.2471	1907	7	DNK	NA	NA
13.7421	1907	8	DNK	NA	NA
12.0052	1907	9	DNK	NA	NA
11.2892	1907	10	DNK	NA	NA
3.8763	1907	11	DNK	NA	NA
0.63625	1907	12	DNK	NA	NA
0.19984	1908	1	DNK	NA	NA
1.77576	1908	2	DNK	NA	NA
0.95385	1908	3	DNK	NA	NA
4.80853	1908	4	DNK	NA	NA
10.1262	1908	5	DNK	NA	NA
14.7609	1908	6	DNK	NA	NA
16.745	1908	7	DNK	NA	NA
15.0027	1908	8	DNK	NA	NA
12.4942	1908	9	DNK	NA	NA
8.97698	1908	10	DNK	NA	NA
2.9198	1908	11	DNK	NA	NA
0.85927	1908	12	DNK	NA	NA
-0.0576	1909	1	DNK	NA	NA
-1.6769	1909	2	DNK	NA	NA
-0.5979	1909	3	DNK	NA	NA
4.57832	1909	4	DNK	NA	NA
8.36394	1909	5	DNK	NA	NA
13.0238	1909	6	DNK	NA	NA
14.3527	1909	7	DNK	NA	NA
14.6889	1909	8	DNK	NA	NA
12.007	1909	9	DNK	NA	NA
10.5829	1909	10	DNK	NA	NA
2.77425	1909	11	DNK	NA	NA
1.35621	1909	12	DNK	NA	NA
1.14639	1910	1	DNK	NA	NA
1.71454	1910	2	DNK	NA	NA
3.58345	1910	3	DNK	NA	NA
6.24601	1910	4	DNK	NA	NA
11.8621	1910	5	DNK	NA	NA
16.1854	1910	6	DNK	NA	NA
16.3726	1910	7	DNK	NA	NA
16.1056	1910	8	DNK	NA	NA
13.0003	1910	9	DNK	NA	NA
9.11457	1910	10	DNK	NA	NA
2.4749	1910	11	DNK	NA	NA
2.36068	1910	12	DNK	NA	NA
1.13348	1911	1	DNK	NA	NA
1.61284	1911	2	DNK	NA	NA
2.70041	1911	3	DNK	NA	NA
6.17978	1911	4	DNK	NA	NA
